"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
27.8	35.02	29.23	19.23	26.32	29.72	20.48	7.9	20.48	27.59	27.22	14.54	15.08	14.04	23.54	13.4	8.43	5.75	25.83	40.24	20.15	40.62
22.89	13.01	9.5	29.9	16.12	17.95	7.27	17.2	32.23	7.87	41.58	4.07	7.58	10.29	4.56	7.29	9.65	-0.45	25.36	24.79	21.04	15.6
11.92	22.1	23.58	10.78	8.2	8.97	9.63	23.11	16.4	13.69	16.07	20.89	6.48	10.83	7.39	1.23	10.35	9.92	28.97	25.69	25.43	9.49
29.73	25.18	31	33.68	24.07	27.23	23.84	31.58	16.8	33.44	46.45	14.38	26.25	10.19	9.61	23.56	9.27	17.54	33.23	35.36	21.15	32.4
15.89	25.26	21.79	13.55	17.12	30.29	7.18	13.1	12.71	9.72	20.9	8.81	21.39	29.89	0.47	1.97	11.78	15.69	38.66	21.65	17.06	24.83
2.77	38.12	15.17	7.43	11.99	27.43	-1.65	20.55	13.76	14.38	17.68	5.61	-2.68	1.25	-8.72	13.16	-18.99	17.5	26.39	24.97	10.86	20.65
25.5	20.76	25.43	28.12	15.16	17.45	22.2	17.16	19.35	27.46	27.29	18.48	9.97	8.39	3.29	3.87	3.39	-2.7	42.05	30.28	0.87	3.43
13.51	16.39	11.5	28.29	21.05	20.09	10.56	9.95	20.98	16.26	23.17	-0.43	10.57	18.19	11.13	2.25	0.11	10	20.93	32.34	11.4	15.43
20.9	17.32	6.14	16.23	14.9	18.85	14.7	12.03	21.79	10.64	6.28	12.06	0.8	4.2	4.08	8.55	9.16	9.32	23.97	20.45	11.56	19.3
27.49	36.84	16.76	22.14	1.5	14.75	9.82	-0.04	21.77	20.06	18.9	-0.15	8.41	12.94	-2.26	12.83	3.39	4.69	17.73	21.32	8.27	14.1
24.47	35.42	11.4	37.66	25.79	20.95	13.72	10.24	21.58	8.86	27.98	11.13	13.16	18	13.3	8.88	8.83	10	33.52	28.83	18.01	11.87
